キャンペーン レポート
全期間
キャンペーンのステータス,キャンペーン,予算,予算の名前,予算タイプ,通貨コード,ステータス,ステータスの理由,最適化スコア,キャンペーン タイプ,入札戦略タイプ,コンバージョン値,コンバージョン,コンバージョン率,コンバージョン単価,表示回数,クリック数,クリック率,費用
一時停止,Campaign #1,2557, --,日別,JPY,一時停止,キャンペーンが停止中です; コンバージョン トラッキングの設定が完了していません, --,P-MAX,コンバージョン数を最大化,0.00,0.00,0.00%,0,"142,856","2,146",1.50%,121624
一時停止,AI業務ツール20｜検索,650, --,日別,JPY,一時停止,キャンペーンが停止中です, --,検索,クリック数の最大化,0.00,0.00,0.00%,0,10,0,0.00%,0
有効,AI GACHA OS｜検索｜相談CV,2000, --,日別,JPY,有効（学習中）,入札戦略が学習中です,96.14,検索,クリック数の最大化,0.00,0.00,0.00%,0,0,0, --,0
合計: キャンペーン, --, --, --, --,JPY, --,, --, --, --,0.00,0.00,0.00%,0,"142,866","2,146",1.50%,121624
合計: アカウント,,,,,JPY,,,,,,0.00,0.00,0.00%,0,"142,866","2,146",1.50%,121624
合計: 検索,,,,,JPY,,,,検索,,0.00,0.00,0.00%,0,10,0,0.00%,0
合計: P-MAX,,,,,JPY,,,,P-MAX,,0.00,0.00,0.00%,0,"142,856","2,146",1.50%,121624
